id,text,in_reply_to_status_id,coordinates,timestamp_ms,quoted_status_id,user_id,language,mentioned_airlines,user_mentions,label,score,retweeted_status_id,retweeted_status_user_id
1140469918967771136,'3 hrs on a hot runway @americanair cancels our flight they didn’t offer one glass of water the entire time @americanair is inhumane animals arent treated this poorly',0,'NULL',1560744192245,0,3282714542,'en','[AmericanAir]','[19738104 22536055]',negative,-0.9483822654001415,1140436014860820480,19738104
1140469922511892481,'hello @qantas its me again you have unsurprisingly continued to be unhelpful and dismissive of the issue at hand you have provided no solution for getting my friend and her family their luggage you have provided poor excuses as to why you canceled last minute their flight',0,'NULL',1560744193090,0,596506607,'en','[Qantas]','[936089986767769600 218730857]',negative,-0.9253628859296441,1140469690873110539,936089986767769600
1140469944800272385,'hello @qantas its me again you have unsurprisingly continued to be unhelpful and dismissive of the issue at hand you have provided no solution for getting my friend and her family their luggage you have provided poor excuses as to why you canceled last minute their flight',0,'NULL',1560744198404,0,885515581,'en','[Qantas]','[936089986767769600 218730857]',negative,-0.9253628859296441,1140469690873110539,936089986767769600
1140469968338862080,'@taylorrmarshall @americanair praying for you brother and for your kids hope things get better soon maybe next ti…',1140433498286829568,'NULL',1560744204016,0,1110013911485632512,'en','[AmericanAir]','[19738104 22536055]',positive,0.8433481529355049,0,0
1140469980833579008,'chicago here we come qantas will run four boeing 787-9 dreamliner flights each week between brisbane and chicago in what will be the world’s fourth-longest passenger flight  @choosechicago @brisbaneairport @fly2ohare @boeingairplanes chicago paxex',0,'NULL',1560744206995,0,29389135,'en','[Qantas]','[164971523]',neutral,0.33996178256347775,1140459658332631040,164971523
1140470005169041413,'rt @klm: like father like son like grandson 👨‍✈️👨‍✈️👨‍✈️ happy fathersday',0,'NULL',1560744212797,0,866261236601810944,'en','[KLM]','[56377143]',positive,0.9438163512386382,1140160580625420288,56377143
1140470018477477888,'@americanair sent you guys a dm didn’t get a response',1140420169392672768,'NULL',1560744215970,0,1445881686,'en','[AmericanAir]','[22536055]',negative,-0.5419261213392019,0,0
1140470020763521026,'@americanair im curious why you wont provide hotel reimbursement when you cant get people home until 19 hours later than scheduled',0,'NULL',1560744216515,0,16396118,'en','[AmericanAir]','[22536055]',negative,-0.7917805281467736,0,0
1140470043786076160,'@realmarkfreeman @americanair feelin’ your pain after the trip though it’ll be part of the story rose-colored g…',1140468403884482560,'NULL',1560744222004,0,39768865,'en','[AmericanAir]','[105048240 22536055]',neutral,-0.3651612401008606,0,0
1140470056029061121,'♡ @izzyfolau+maria rugby australia led by misguided ms castle &amp; mr clyne is on its knees what kind of fool kicks…',0,'NULL',1560744224923,0,68355962,'en','[]','[376035528]',negative,-0.9033206203021109,0,0
